"scenario","initdenres_collapsed","soiltype","region","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"BAU","LD-LR","heavy","north",5.30966218469566,2.00542066407156,8.61390370531976,0,0,0
"BAU","LD-LR","heavy","central",5.31018636007613,2.00565046973871,8.61472225041355,0,0,0
"BAU","LD-LR","heavy","east",5.44966033445834,2.05510100319504,8.84421966572164,0,0,0
"BAU","LD-LR","medium","north",4.75445044058326,1.79502883556472,7.71387204560181,0,0,0
"BAU","LD-LR","medium","central",4.75445044058326,1.79502883556472,7.71387204560181,0,0,0
"BAU","LD-LR","medium","east",4.75445044058326,1.79502883556472,7.71387204560181,0,0,0
"BAU","LD-LR","light","north",3.88816439268723,1.46747449806948,6.30885428730499,0,0,0
"BAU","LD-LR","light","central",3.88816439268723,1.46747449806948,6.30885428730499,0,0,0
"BAU","LD-LR","light","east",3.88816439268723,1.46747449806948,6.30885428730499,0,0,0
"BAU","LD-HR","heavy","north",5.00312621199119,1.87931948899776,8.12693293498461,0,0,0
"BAU","LD-HR","heavy","central",5.00398439955691,1.87973149111267,8.12823730800116,0,0,0
"BAU","LD-HR","heavy","east",5.29199506042479,1.99897499017393,8.58501513067564,0,0,0
"BAU","LD-HR","medium","north",4.51772474159974,1.70215369671911,7.33329578648037,0,0,0
"BAU","LD-HR","medium","central",4.51772474159974,1.70215369671911,7.33329578648037,0,0,0
"BAU","LD-HR","medium","east",4.51772474159974,1.70215369671911,7.33329578648037,0,0,0
"BAU","LD-HR","light","north",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"BAU","LD-HR","light","central",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"BAU","LD-HR","light","east",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"BAU","HD-HR","heavy","north",5.03008737323922,1.89140550273679,8.16876924374165,0,0,0
"BAU","HD-HR","heavy","central",5.03093276518822,1.89180776204382,8.17005776833262,0,0,0
"BAU","HD-HR","heavy","east",5.30983170046157,2.00578975291194,8.6138736480112,0,0,0
"BAU","HD-HR","medium","north",4.55799001047065,1.71927950895678,7.39670051198453,0,0,0
"BAU","HD-HR","medium","central",4.55799001047065,1.71927950895678,7.39670051198453,0,0,0
"BAU","HD-HR","medium","east",4.55799001047065,1.71927950895678,7.39670051198453,0,0,0
"BAU","HD-HR","light","north",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"BAU","HD-HR","light","central",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"BAU","HD-HR","light","east",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"MIT","LD-LR","heavy","north",4.68234744114114,0.57479300623685,8.78990187604542,-0.627314743554527,-5.75519331351509,4.50056382640604
"MIT","LD-LR","heavy","central",4.68234744114114,0.57479300623685,8.78990187604542,-0.627838918934997,-5.75613316640497,4.50045532853497
"MIT","LD-LR","heavy","east",5.62995793724128,2.12001505123099,9.13990082325157,0.180297602782942,-5.80544046007131,6.16603566563719
"MIT","LD-LR","medium","north",4.16226106874436,0.510630903288646,7.81389123420008,-0.592189371838899,-5.16023499680712,3.97585625312932
"MIT","LD-LR","medium","central",4.16226106874436,0.510630903288646,7.81389123420008,-0.592189371838899,-5.16023499680712,3.97585625312932
"MIT","LD-LR","medium","east",4.93813416457825,1.86288268941512,8.01338563974138,0.183683723994985,-5.02536846731135,5.39273591530132
"MIT","LD-LR","light","north",3.39834103660609,0.416907457854245,6.37977461535794,-0.489823356081141,-4.21882632799479,3.23917961583251
"MIT","LD-LR","light","central",3.3983512102161,0.416908377437141,6.37979404299506,-0.489813182471133,-4.21881931936227,3.23919295442
"MIT","LD-LR","light","east",4.03059416506507,1.52050666811628,6.54068166201385,0.142429772377831,-4.11193917889013,4.39679872364579
"MIT","LD-HR","heavy","north",2.76799280438178,-0.663390179075214,6.19937578783878,-2.23513340760941,-5.24701950127626,0.776752686057447
"MIT","LD-HR","heavy","central",2.83189556724549,-0.679171999264654,6.34296313375564,-2.17208883231142,-5.23566762247176,0.891489957848915
"MIT","LD-HR","heavy","east",4.38681422035139,0.538408191556539,8.23522024914624,-0.905180840073397,-7.48509594160468,5.67473426145788
"MIT","LD-HR","medium","north",2.48180150482373,-0.594707502261374,5.55831051190883,-2.03592323677601,-4.75739427957128,0.685547806019259
"MIT","LD-HR","medium","central",2.52791227602146,-0.606869776015337,5.66269432805825,-1.98981246557828,-4.74707377028429,0.767448839127721
"MIT","LD-HR","medium","east",3.83422356061609,0.472013961002146,7.19643316023003,-0.683501180983653,-6.31376157259034,4.94675921062304
"MIT","LD-HR","light","north",2.04214431868667,-0.489589385492018,4.57387802286536,-1.65744782369004,-3.89088643185966,0.57599078447958
"MIT","LD-HR","light","central",2.06344926216026,-0.495359469028255,4.62225799334878,-1.63614288021645,-3.88612981049562,0.613844050062725
"MIT","LD-HR","light","east",3.2046345926149,0.394540004218563,6.01472918101123,-0.494957549761812,-5.16080803906011,4.17089293953648
"MIT","HD-HR","heavy","north",2.5173512372656,-0.608803053357336,5.64350552788854,-2.51273613597362,-7.53088115542098,2.50540888347374
"MIT","HD-HR","heavy","central",2.80657158326663,-0.672491271446719,6.28563443797997,-2.22436118192159,-5.27678617180483,0.828063807961638
"MIT","HD-HR","heavy","east",2.79665676492315,-0.679395693447002,6.27270922329329,-2.51317493553842,-8.04933688660685,3.02298701553
"MIT","HD-HR","medium","north",2.29407421661785,-0.555745337494783,5.14389377073049,-2.2639157938528,-6.80542558775037,2.27759400004477
"MIT","HD-HR","medium","central",2.51159024231213,-0.60203921187855,5.62521969650281,-2.04639976815852,-4.80346651679874,0.710666980481693
"MIT","HD-HR","medium","east",2.41816158695418,-0.589519941088744,5.42584311499709,-2.13982842351648,-6.92015711210868,2.64050026507573
"MIT","HD-HR","light","north",1.87288669161034,-0.453715132976301,4.19948851619699,-1.82670545076637,-5.52638495910775,1.87297405757502
"MIT","HD-HR","light","central",2.13016139653083,-0.51094338637373,4.77126617943539,-1.56943074584588,-3.86436349967388,0.725502007982115
"MIT","HD-HR","light","east",2.00803306762538,-0.487403038832225,4.50346917408299,-1.69155907475133,-6.48296260255088,3.09984445304823
"CWW","LD-LR","heavy","north",7.59590854667658,7.23698537436284,7.95483171899033,2.28624636198092,-0.909341952087803,5.48183467604964
"CWW","LD-LR","heavy","central",7.60002630276805,7.24283073428791,7.95722187124819,2.28983994269191,-0.906622052368323,5.48630193775215
"CWW","LD-LR","heavy","east",7.8018239657067,7.51973606052773,8.08391187088567,2.35216363124836,-0.965692317759896,5.67001958025662
"CWW","LD-LR","medium","north",6.80141205588392,6.51052780783857,7.09229630392926,2.04696161530065,-0.827644920617101,4.92156815121841
"CWW","LD-LR","medium","central",6.80429021900908,6.5145781397809,7.09400229823726,2.04983977842582,-0.82515210768954,4.92483166454118
"CWW","LD-LR","medium","east",6.80429021900908,6.5145781397809,7.09400229823726,2.04983977842582,-0.82515210768954,4.92483166454118
"CWW","LD-LR","light","north",5.551502057562,5.31379826911127,5.78920584601273,1.66333766487477,-0.688489384559765,4.0151647143093
"CWW","LD-LR","light","central",5.55384210296481,5.3170915079931,5.79059269793652,1.66567771027758,-0.686460678422547,4.0178160989777
"CWW","LD-LR","light","east",5.55384210296481,5.3170915079931,5.79059269793652,1.66567771027758,-0.686460678422547,4.0178160989777
"CWW","LD-HR","heavy","north",7.06766630449045,6.48449498963897,7.65083761934193,2.06454009249926,-0.850557717193076,4.9796379021916
"CWW","LD-HR","heavy","central",7.07419505676111,6.49374167602939,7.65464843749283,2.0702106572042,-0.84633252077055,4.98675383517894
"CWW","LD-HR","heavy","east",7.58428050584209,7.22285494589093,7.94570606579325,2.29228544541731,-0.890068821288159,5.47463971212277
"CWW","LD-HR","medium","north",6.40062135451459,5.94097427191376,6.86026843711542,1.88289661291485,-0.775557812051333,4.54135103788103
"CWW","LD-HR","medium","central",6.40620211499214,5.94891513186101,6.86348909812328,1.8884773733924,-0.770764003410173,4.54771875019498
"CWW","LD-HR","medium","east",6.40620211499214,5.94891513186101,6.86348909812328,1.8884773733924,-0.770764003410173,4.54771875019498
"CWW","LD-HR","light","north",5.22569020194165,4.85078906527498,5.60059133860832,1.52609805956494,-0.652449256541961,3.70464537567184
"CWW","LD-HR","light","central",5.23022637555486,4.85724354325491,5.60320920785481,1.53063423317815,-0.648545816125792,3.7098142824821
"CWW","LD-HR","light","east",5.23022637555486,4.85724354325491,5.60320920785481,1.53063423317815,-0.648545816125792,3.7098142824821
"CWW","HD-HR","heavy","north",7.06766630449045,6.48449498963897,7.65083761934193,2.03757893125123,-0.895367105177688,4.97052496768015
"CWW","HD-HR","heavy","central",7.07419505676111,6.49374167602939,7.65464843749283,2.04326229157289,-0.891108537794113,4.9776331209399
"CWW","HD-HR","heavy","east",7.58428050584209,7.22285494589093,7.94570606579325,2.27444880538052,-0.919906567429353,5.4688041781904
"CWW","HD-HR","medium","north",6.40062135451459,5.94097427191376,6.86026843711542,1.84263134404394,-0.842695453202102,4.52795814128998
"CWW","HD-HR","medium","central",6.40620211499214,5.94891513186101,6.86348909812328,1.84821210452149,-0.837881755005216,4.5343059640482
"CWW","HD-HR","medium","east",6.40620211499214,5.94891513186101,6.86348909812328,1.84821210452149,-0.837881755005216,4.5343059640482
"CWW","HD-HR","light","north",5.22569020194165,4.85078906527498,5.60059133860832,1.52609805956494,-0.652449256541961,3.70464537567184
"CWW","HD-HR","light","central",5.23022637555486,4.85724354325491,5.60320920785481,1.53063423317815,-0.648545816125792,3.7098142824821
"CWW","HD-HR","light","east",5.23022637555486,4.85724354325491,5.60320920785481,1.53063423317815,-0.648545816125792,3.7098142824821
