"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","gp","gp_ci_l","gp_ci_u","oc","oc_ci_l","oc_ci_u"
"lower","MIT_lower","MIT","north","heavy","LD-LR",905.287544685263,595.350655845388,1215.22443352514,87.9341407802578,-223.656425608754,399.52470716927
"upper","MIT_upper","MIT","north","heavy","LD-LR",878.485472329247,589.281616055851,1167.68932860264,173.261123977619,-111.210934663638,457.733182618875
"lower","MIT_lower","MIT","north","medium","LD-LR",743.0040105736,438.939140153045,1047.06888099415,80.322270554666,-222.657186936854,383.301728046186
"upper","MIT_upper","MIT","north","medium","LD-LR",726.938017517062,435.319343822343,1018.55669121178,137.002092781498,-150.705771124086,424.709956687081
"lower","MIT_lower","MIT","north","light","LD-LR",645.103487694013,448.600126365872,841.606849022155,145.078482127928,-53.2809252957807,343.437889551636
"upper","MIT_upper","MIT","north","light","LD-LR",632.535137956274,445.771835607737,819.29844030481,187.255922623077,7.54612633190803,366.965718914246
"lower","MIT_lower","MIT","central","heavy","LD-LR",905.287544685263,595.350655845388,1215.22443352514,92.2475479091827,-213.967637355063,398.462733173428
"upper","MIT_upper","MIT","central","heavy","LD-LR",878.485472329247,589.281616055851,1167.68932860264,177.306692124948,-101.584441691653,456.197825941549
"lower","MIT_lower","MIT","central","medium","LD-LR",743.0040105736,438.939140153045,1047.06888099415,80.322270554666,-222.657186936854,383.301728046186
"upper","MIT_upper","MIT","central","medium","LD-LR",726.938017517062,435.319343822343,1018.55669121178,137.002092781498,-150.705771124086,424.709956687081
"lower","MIT_lower","MIT","central","light","LD-LR",645.103904240336,448.60026439451,841.607544086162,145.078898674251,-53.28051328416,343.438310632661
"upper","MIT_upper","MIT","central","light","LD-LR",632.544397116539,445.775469485477,819.313324747602,187.265181783343,7.55156471838302,366.978798848303
"lower","MIT_lower","MIT","east","heavy","LD-LR",886.224345347877,714.705078901797,1057.74361179396,62.5687745445765,-233.746008628556,358.883557717709
"upper","MIT_upper","MIT","east","heavy","LD-LR",865.549531934013,710.080902025492,1021.01816184253,73.8638902653734,-183.01279444552,330.740574976267
"lower","MIT_lower","MIT","east","medium","LD-LR",727.99489305749,568.883035122368,887.106750992612,65.3131530385552,-206.803168568768,337.429474645878
"upper","MIT_upper","MIT","east","medium","LD-LR",672.095523576309,548.415584460561,795.775462692056,82.1595988407447,-88.683327625963,253.002525307452
"lower","MIT_lower","MIT","east","light","LD-LR",559.498068064047,420.212961202431,698.783174925663,59.4730624979613,-184.953652947152,303.899777943074
"upper","MIT_upper","MIT","east","light","LD-LR",513.898729566322,403.652996136582,624.144462996061,68.6195142331254,-96.1025278820361,233.341556348287
"lower","MIT_lower","MIT","north","heavy","LD-HR",653.153076104701,445.903240755636,860.402911453767,-141.082963568727,-204.372782824676,-77.793144312777
"upper","MIT_upper","MIT","north","heavy","LD-HR",581.248259920702,411.186665145673,751.309854695731,43.2578959399685,-124.926105684755,211.441897564692
"lower","MIT_lower","MIT","north","medium","LD-HR",502.169045702291,281.717701198945,722.620390205637,-144.727738225472,-206.510614498511,-82.9448619524338
"upper","MIT_upper","MIT","north","medium","LD-HR",451.241859480372,265.418779973984,637.06493898676,-2.55737547434813,-164.867589569218,159.752838620522
"lower","MIT_lower","MIT","north","light","LD-HR",495.622663427853,419.714961376158,571.530365479547,7.92416543467536,-106.038554557473,121.886885426824
"upper","MIT_upper","MIT","north","light","LD-HR",461.709479428036,404.064517401044,519.354441455029,126.61157733251,36.4886968840926,216.734457780927
"lower","MIT_lower","MIT","central","heavy","LD-HR",728.812764547332,516.398910285534,941.226618809129,-65.4906666448802,-184.428975003498,53.4476417137373
"upper","MIT_upper","MIT","central","heavy","LD-HR",684.641518061503,517.970488928694,851.312547194312,146.184879502022,-49.7087078355708,342.078466839615
"lower","MIT_lower","MIT","central","medium","LD-HR",609.714760083792,411.157780949781,808.271739217803,-37.1820238439714,-107.4711443814,33.1070966934567
"upper","MIT_upper","MIT","central","medium","LD-HR",581.456921865403,412.920201852708,749.993641878098,127.657686910683,-46.2330715620757,301.548445383442
"lower","MIT_lower","MIT","central","light","LD-HR",482.617946306067,294.158601936909,671.077290675225,-5.08055168711047,-51.3119750496143,41.1508716753933
"upper","MIT_upper","MIT","central","light","LD-HR",459.588016045296,291.360498460294,627.815533630299,124.49011394977,-28.4632458751129,277.443473774652
"lower","MIT_lower","MIT","east","heavy","LD-HR",752.556987187063,499.426742659455,1005.68723171467,-63.9973046401108,-436.536879469365,308.542270189143
"upper","MIT_upper","MIT","east","heavy","LD-HR",732.892224296074,495.604200248363,970.180248343785,38.7385444615474,-225.174711070144,302.651799993239
"lower","MIT_lower","MIT","east","medium","LD-HR",592.78725352783,343.649429660747,841.925077394913,-54.1095303999333,-400.636195209256,292.417134409389
"upper","MIT_upper","MIT","east","medium","LD-HR",540.722941044646,328.360080524283,753.085801565008,86.9237060899256,-102.169765728198,276.017177908049
"lower","MIT_lower","MIT","east","light","LD-HR",515.566034279849,357.362358314992,673.769710244705,27.8675362866713,-233.602312077082,289.337384650425
"upper","MIT_upper","MIT","east","light","LD-HR",471.913805022713,345.51093814755,598.316671897876,136.815902927187,25.2580562771874,248.373749577186
"lower","MIT_lower","MIT","north","heavy","HD-HR",559.079086095637,346.946938892219,771.211233299055,-219.099638938479,-557.495759878139,119.296482001181
"upper","MIT_upper","MIT","north","heavy","HD-HR",384.88652843916,217.070833143731,552.702223734589,-48.8513494080985,-250.090677707826,152.387978891629
"lower","MIT_lower","MIT","north","medium","HD-HR",484.651029391635,317.10283265971,652.19922612356,-149.728070472396,-449.872927952572,150.41678700778
"upper","MIT_upper","MIT","north","medium","HD-HR",356.339945723016,222.738252327557,489.941639118475,-11.9892247663305,-161.447717008532,137.469267475871
"lower","MIT_lower","MIT","north","light","HD-HR",389.236748337497,268.075898543929,510.397598131065,-84.8653187020052,-331.171193960806,161.440556556796
"upper","MIT_upper","MIT","north","light","HD-HR",284.542979178717,145.864523886713,423.221434470722,37.2704262119604,-119.040643306632,193.581495730553
"lower","MIT_lower","MIT","central","heavy","HD-HR",621.960050041882,473.03209780607,770.888002277694,-156.293611526942,-247.062653594539,-65.5245694593446
"upper","MIT_upper","MIT","central","heavy","HD-HR",481.932166416782,377.342726835686,586.521605997877,47.7744425466212,-130.322859892385,225.871744985627
"lower","MIT_lower","MIT","central","medium","HD-HR",499.088266750656,338.008432509761,660.168100991552,-135.290833113375,-222.143755446016,-48.4379107807337
"upper","MIT_upper","MIT","central","medium","HD-HR",388.363274034312,251.196701683013,525.529846385611,20.0341035449655,-157.7492059244,197.817413014331
"lower","MIT_lower","MIT","central","light","HD-HR",466.606792802225,388.659944650645,544.553640953805,-7.49527423727683,-101.28650536411,86.2959568895564
"upper","MIT_upper","MIT","central","light","HD-HR",381.653892320541,270.326879097255,492.980905543826,134.381339353784,-14.5451975423318,283.307876249899
"lower","MIT_lower","MIT","east","heavy","HD-HR",489.455975513656,244.349500755224,734.562450272087,-312.881228401637,-644.393407519258,18.6309507159832
"upper","MIT_upper","MIT","east","heavy","HD-HR",463.30312638294,243.697113621217,682.909139144664,-121.418573037857,-325.498336582961,82.6611905072471
"lower","MIT_lower","MIT","east","medium","HD-HR",373.547586469175,123.022516549531,624.072656388819,-260.831513394856,-573.884125719918,52.2210989302053
"upper","MIT_upper","MIT","east","medium","HD-HR",306.752714008772,101.750340379007,511.755087638537,-61.576456480575,-291.434298514843,168.281385553693
"lower","MIT_lower","MIT","east","light","HD-HR",413.160435932961,236.681736955626,589.639134910296,-60.9416311065408,-336.157000933679,214.273738720597
"upper","MIT_upper","MIT","east","light","HD-HR",382.378011299544,213.556377940175,551.199644658913,135.105458332787,-63.3601293502737,333.571046015848
"lower","CWW_lower","CWW","north","heavy","LD-LR",501.077257989939,421.65452090886,580.499995071018,-316.276145915067,-474.987280087579,-157.565011742556
"upper","CWW_upper","CWW","north","heavy","LD-LR",350.566844477434,213.45237803313,487.681310921739,-354.657503874193,-434.217753687435,-275.097254060951
"lower","CWW_lower","CWW","north","medium","LD-LR",362.877152857133,293.389562200605,432.364743513661,-299.804587161801,-453.774964670013,-145.83420965359
"upper","CWW_upper","CWW","north","medium","LD-LR",266.23984038033,162.940075815613,369.539604945048,-323.696084355233,-417.855325926144,-229.536842784323
"lower","CWW_lower","CWW","north","light","LD-LR",205.4264579404,147.529041544946,263.323874335855,-294.598547625685,-434.289712662017,-154.907382589353
"upper","CWW_upper","CWW","north","light","LD-LR",126.552792658427,40.9670864985706,212.138498818283,-318.726422674769,-413.159738495609,-224.29310685393
"lower","CWW_lower","CWW","central","heavy","LD-LR",501.316533106193,422.021105311613,580.611960900773,-311.723463669888,-469.341735333061,-154.105192006716
"upper","CWW_upper","CWW","central","heavy","LD-LR",352.937908420949,216.94294685414,488.932869987758,-348.240871783348,-422.377737526215,-274.104006040482
"lower","CWW_lower","CWW","central","medium","LD-LR",363.02460079203,293.615363567623,432.433838016436,-299.657139226905,-453.637707490884,-145.676570962927
"upper","CWW_upper","CWW","central","medium","LD-LR",267.986634867016,165.519060695096,370.454209038936,-321.949289868548,-416.105919525779,-227.792660211316
"lower","CWW_lower","CWW","central","light","LD-LR",205.547463940305,147.714139812841,263.380788067769,-294.477541625781,-434.178340386274,-154.776742865289
"upper","CWW_upper","CWW","central","light","LD-LR",127.981154036471,43.0754617653708,212.88684630757,-317.298061296726,-411.745155362129,-222.850967231323
"lower","CWW_lower","CWW","east","heavy","LD-LR",510.644881923183,436.145935953466,585.143827892901,-313.010688880117,-478.642468420173,-147.378909340062
"upper","CWW_upper","CWW","east","heavy","LD-LR",478.325191731665,400.611762387386,556.038621075944,-313.360449936976,-453.431605271762,-173.28929460219
"lower","CWW_lower","CWW","east","medium","LD-LR",363.02460079203,293.615363567623,432.433838016436,-299.657139226905,-453.637707490884,-145.676570962927
"upper","CWW_upper","CWW","east","medium","LD-LR",267.986634867016,165.519060695096,370.454209038936,-321.949289868548,-416.105919525779,-227.792660211316
"lower","CWW_lower","CWW","east","light","LD-LR",205.547463940305,147.714139812841,263.380788067769,-294.477541625781,-434.178340386274,-154.776742865289
"upper","CWW_upper","CWW","east","light","LD-LR",127.981154036471,43.0754617653708,212.88684630757,-317.298061296726,-411.745155362129,-222.850967231323
"lower","CWW_lower","CWW","north","heavy","LD-HR",461.795488365394,362.663791564085,560.927185166704,-332.440551308033,-468.692045983502,-196.189056632564
"upper","CWW_upper","CWW","north","heavy","LD-HR",74.9406378214944,-185.206011204825,335.087286847814,-463.049726159239,-603.390210397833,-322.709241920645
"lower","CWW_lower","CWW","north","medium","LD-HR",335.787078624112,252.441782261105,419.132374987119,-311.109705303651,-448.73199670785,-173.487413899453
"upper","CWW_upper","CWW","north","medium","LD-HR",45.9864992676682,-158.131929106619,250.104927641955,-407.812735687051,-501.199552361237,-314.425919012866
"lower","CWW_lower","CWW","north","light","LD-HR",183.194707424664,113.948704226527,252.440710622802,-304.503790568513,-431.365299961315,-177.642281175711
"upper","CWW_upper","CWW","north","light","LD-HR",-53.5320706027493,-221.532492749995,114.468351544496,-388.629972698275,-458.601188081019,-318.658757315532
"lower","CWW_lower","CWW","central","heavy","LD-HR",462.380600505813,363.527010886912,561.234190124715,-331.922830686398,-468.229398673913,-195.616262698884
"upper","CWW_upper","CWW","central","heavy","LD-HR",78.0222471417714,-180.877877903531,336.922372187074,-460.43439141771,-600.104776539597,-320.764006295823
"lower","CWW_lower","CWW","central","medium","LD-HR",336.249961037146,253.132586044715,419.367336029577,-310.646822890617,-448.29259840584,-173.001047375394
"upper","CWW_upper","CWW","central","medium","LD-HR",48.7687681243096,-154.162929121842,251.700465370461,-405.03046683041,-497.912144153553,-312.148789507268
"lower","CWW_lower","CWW","central","light","LD-HR",183.574572932909,114.515403559144,252.633742306675,-304.123925060268,-431.00915183479,-177.238698285746
"upper","CWW_upper","CWW","central","light","LD-HR",-51.2577541206062,-218.287989901767,115.772481660555,-386.355656216132,-455.900969278129,-316.810343154135
"lower","CWW_lower","CWW","east","heavy","LD-HR",501.112111111767,421.783625325314,580.440596898221,-315.442180715407,-473.255671266419,-157.628690164395
"upper","CWW_upper","CWW","east","heavy","LD-HR",341.160065332988,200.004554008997,482.315576656979,-352.993614501539,-428.372093011914,-277.615135991163
"lower","CWW_lower","CWW","east","medium","LD-HR",336.249961037146,253.132586044715,419.367336029577,-310.646822890617,-448.29259840584,-173.001047375394
"upper","CWW_upper","CWW","east","medium","LD-HR",48.7687681243096,-154.162929121842,251.700465370461,-405.03046683041,-497.912144153553,-312.148789507268
"lower","CWW_lower","CWW","east","light","LD-HR",183.574572932909,114.515403559144,252.633742306675,-304.123925060268,-431.00915183479,-177.238698285746
"upper","CWW_upper","CWW","east","light","LD-HR",-51.2577541206062,-218.287989901767,115.772481660555,-386.355656216132,-455.900969278129,-316.810343154135
"lower","CWW_lower","CWW","north","heavy","HD-HR",437.371140413167,354.443849943737,520.298430882596,-340.80758462095,-474.559997335972,-207.055171905927
"upper","CWW_upper","CWW","north","heavy","HD-HR",-68.1361165321291,-188.763459301294,52.4912262370362,-501.873994379387,-645.627428608845,-358.12056014993
"lower","CWW_lower","CWW","north","medium","HD-HR",314.675693443913,245.357027878272,383.994359009554,-319.703406420118,-456.271764562706,-183.135048277531
"upper","CWW_upper","CWW","north","medium","HD-HR",-82.4677033706412,-164.626474811526,-0.308931929756199,-450.796873859988,-545.149514368156,-356.444233351819
"lower","CWW_lower","CWW","north","light","HD-HR",165.005166936077,107.256510888572,222.753822983583,-309.096900103425,-432.388016239221,-185.805783967629
"upper","CWW_upper","CWW","north","light","HD-HR",-159.472020335008,-227.63739040486,-91.3066502651558,-406.744573301765,-477.86382191365,-335.62532468988
"lower","CWW_lower","CWW","central","heavy","HD-HR",438.004596919248,355.335238974522,520.673954863974,-340.249064649576,-474.057934977059,-206.440194322094
"upper","CWW_upper","CWW","central","heavy","HD-HR",-65.1978253522628,-184.6656907999,54.2700400953744,-499.355549222423,-642.393906724281,-356.317191720565
"lower","CWW_lower","CWW","central","medium","HD-HR",315.193757129289,246.087942923964,384.299571334614,-319.185342734742,-455.783155299973,-182.587530169511
"upper","CWW_upper","CWW","central","medium","HD-HR",-79.716737682265,-160.784262352442,1.35078698791193,-448.045908171612,-541.753856979524,-354.337959363699
"lower","CWW_lower","CWW","central","light","HD-HR",165.430305146389,107.856692991036,223.003917301742,-308.671761893113,-431.991560497998,-185.351963288228
"upper","CWW_upper","CWW","central","light","HD-HR",-157.223920138924,-224.494463847933,-89.953376429914,-404.496473105681,-475.146865867397,-333.846080343964
"lower","CWW_lower","CWW","east","heavy","HD-HR",482.564244091104,418.422603580798,546.705884601409,-319.772959824189,-475.4174875916,-164.128432056779
"upper","CWW_upper","CWW","east","heavy","HD-HR",206.815747055541,181.709930188319,231.921563922763,-377.905952365256,-447.252624930631,-308.559279799881
"lower","CWW_lower","CWW","east","medium","HD-HR",315.193757129289,246.087942923964,384.299571334614,-319.185342734742,-455.783155299973,-182.587530169511
"upper","CWW_upper","CWW","east","medium","HD-HR",-79.716737682265,-160.784262352442,1.35078698791193,-448.045908171612,-541.753856979524,-354.337959363699
"lower","CWW_lower","CWW","east","light","HD-HR",165.430305146389,107.856692991036,223.003917301742,-308.671761893113,-431.991560497998,-185.351963288228
"upper","CWW_upper","CWW","east","light","HD-HR",-157.223920138924,-224.494463847933,-89.953376429914,-404.496473105681,-475.146865867397,-333.846080343964
