"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"no","BAU","BAU","north","heavy","LD-LR",5.4596021508401,2.05261326662117,8.86659103505902,0,0,0
"no","BAU","BAU","north","heavy","LD-HR",5.16593512957828,1.92216213868747,8.40970812046909,0,0,0
"no","BAU","BAU","north","heavy","HD-HR",4.98330310266188,1.87630756164885,8.09029864367492,0,0,0
"no","BAU","BAU","north","medium","LD-LR",4.87958233621498,1.83491514419953,7.92424952823043,0,0,0
"no","BAU","BAU","north","medium","LD-HR",4.6613371587735,1.74287329475772,7.57980102278929,0,0,0
"no","BAU","BAU","north","medium","HD-HR",4.51799510397258,1.70580093238282,7.33018927556234,0,0,0
"no","BAU","BAU","north","light","LD-LR",3.98940964991091,1.4999511232534,6.47886817656842,0,0,0
"no","BAU","BAU","north","light","LD-HR",3.81705285006655,1.42810859407719,6.20599710605591,0,0,0
"no","BAU","BAU","north","light","HD-HR",3.66609287738998,1.38295248307988,5.94923327170008,0,0,0
"no","BAU","BAU","central","heavy","LD-LR",5.45997267787042,2.05277992791623,8.86716542782461,0,0,0
"no","BAU","BAU","central","heavy","LD-HR",5.16678099230135,1.92258848529278,8.41097349930993,0,0,0
"no","BAU","BAU","central","heavy","HD-HR",4.98414849461088,1.87670604353737,8.09159094568439,0,0,0
"no","BAU","BAU","central","medium","LD-LR",4.87958233621498,1.83491514419953,7.92424952823043,0,0,0
"no","BAU","BAU","central","medium","LD-HR",4.6613371587735,1.74287329475772,7.57980102278929,0,0,0
"no","BAU","BAU","central","medium","HD-HR",4.51799510397258,1.70580093238282,7.33018927556234,0,0,0
"no","BAU","BAU","central","light","LD-LR",3.98940964991091,1.4999511232534,6.47886817656842,0,0,0
"no","BAU","BAU","central","light","LD-HR",3.81705285006655,1.42810859407719,6.20599710605591,0,0,0
"no","BAU","BAU","central","light","HD-HR",3.66609287738998,1.38295248307988,5.94923327170008,0,0,0
"no","BAU","BAU","east","heavy","LD-LR",5.57193686305892,2.09431647358473,9.04955725253311,0,0,0
"no","BAU","BAU","east","heavy","LD-HR",5.4450825113092,2.04699664165842,8.84316838095997,0,0,0
"no","BAU","BAU","east","heavy","HD-HR",5.26898603915826,1.99138634384926,8.54658573446726,0,0,0
"no","BAU","BAU","east","medium","LD-LR",4.87958233621498,1.83491514419953,7.92424952823043,0,0,0
"no","BAU","BAU","east","medium","LD-HR",4.6613371587735,1.74287329475772,7.57980102278929,0,0,0
"no","BAU","BAU","east","medium","HD-HR",4.51799510397258,1.70580093238282,7.33018927556234,0,0,0
"no","BAU","BAU","east","light","LD-LR",3.98940964991091,1.4999511232534,6.47886817656842,0,0,0
"no","BAU","BAU","east","light","LD-HR",3.81705285006655,1.42810859407719,6.20599710605591,0,0,0
"no","BAU","BAU","east","light","HD-HR",3.66609287738998,1.38295248307988,5.94923327170008,0,0,0
"no","MIT","MIT","north","heavy","LD-LR",4.79142161616669,0.591473993747026,8.99136923858635,-0.668180534673407,-5.84252360143017,4.50616253208335
"no","MIT","MIT","north","heavy","LD-HR",2.87776825038698,-0.693379374649293,6.44891587542325,-2.2881668791913,-5.38058833575974,0.804254577377139
"no","MIT","MIT","north","heavy","HD-HR",2.5144964226212,-0.608293502327683,5.63728634757008,-2.46880668004068,-7.44978717270836,2.51217381262699
"no","MIT","MIT","north","medium","LD-LR",4.25812900076215,0.525690713757949,7.99056728776635,-0.621453335452829,-5.22394971699772,3.98104304609206
"no","MIT","MIT","north","medium","LD-HR",2.5771260368226,-0.6192565918656,5.77350866551079,-2.08421112195091,-4.87249615867271,0.704073914770893
"no","MIT","MIT","north","medium","HD-HR",2.29175612486751,-0.555338480960128,5.13885073069514,-2.22623897910507,-6.73684451971483,2.28436656150469
"no","MIT","MIT","north","light","LD-LR",3.47608984408361,0.429148106536072,6.52303158163116,-0.513319805827293,-4.26980619841233,3.24316658675775
"no","MIT","MIT","north","light","LD-HR",2.11803764790372,-0.508281825995878,4.74435712180331,-1.69901520216284,-3.98483352221912,0.586803117893443
"no","MIT","MIT","north","light","HD-HR",1.8710023523295,-0.453384445226815,4.19538914988581,-1.79509052506048,-5.46917500327776,1.8789939531568
"no","MIT","MIT","central","heavy","LD-LR",4.79142161616669,0.591473993747026,8.99136923858635,-0.668551061703733,-5.84314121120955,4.50603908780208
"no","MIT","MIT","central","heavy","LD-HR",2.93524742085417,-0.704160323057416,6.57465516476575,-2.23153357144719,-5.37042184962746,0.907354706733089
"no","MIT","MIT","central","heavy","HD-HR",2.77908240262003,-0.666047858563508,6.22421266380357,-2.20506609199085,-5.23224367369518,0.822111489713477
"no","MIT","MIT","central","medium","LD-LR",4.25812900076215,0.525690713757949,7.99056728776635,-0.621453335452829,-5.22394971699772,3.98104304609206
"no","MIT","MIT","central","medium","LD-HR",2.61822233939739,-0.627646982768121,5.8640916615629,-2.04311481937611,-4.86315679506278,0.776927156310551
"no","MIT","MIT","central","medium","HD-HR",2.4876724724093,-0.596840787631984,5.57218573245058,-2.03032263156328,-4.7678903101817,0.707245047055145
"no","MIT","MIT","central","light","LD-LR",3.47609964227468,0.429149361373546,6.52304992317581,-0.513310007636229,-4.26979946652977,3.24317945125731
"no","MIT","MIT","central","light","LD-HR",2.13686971895742,-0.512254189992748,4.78599362790759,-1.68018313110913,-3.98052295125161,0.620156689033349
"no","MIT","MIT","central","light","HD-HR",2.11051057662167,-0.506904448291214,4.72792560153454,-1.55558230076831,-3.83407961915056,0.722915017613934
"no","MIT","MIT","east","heavy","LD-LR",5.73315794768001,2.15632200738028,9.30999388797974,0.16122108462109,-5.85059497032505,6.17303713956723
"no","MIT","MIT","east","heavy","LD-HR",4.48979286490102,0.55429203038923,8.42529369941282,-0.955289646408172,-7.58299312136085,5.67241382854451
"no","MIT","MIT","east","heavy","HD-HR",2.79506822519821,-0.678904394312033,6.26904084470846,-2.47391781396005,-7.9765998515708,3.0287642236507
"no","MIT","MIT","east","medium","LD-LR",5.03376779769453,1.8948356328146,8.17269996257446,0.154185461479553,-5.09781030967056,5.40618123262967
"no","MIT","MIT","east","medium","LD-HR",3.93217474517766,0.485062807319427,7.37928668303589,-0.729162413595845,-6.41582719144465,4.95750236425295
"no","MIT","MIT","east","medium","HD-HR",2.4138262819825,-0.588207092157138,5.41585965612213,-2.10416882199008,-6.84792324811985,2.63958560413969
"no","MIT","MIT","east","light","LD-LR",4.10834334870154,1.546477415459,6.67020928194408,0.11893369879063,-4.16986433479283,4.40773173237409
"no","MIT","MIT","east","light","LD-HR",3.28606316607644,0.405324959897055,6.16680137225582,-0.530989683990117,-5.24379785535737,4.18181848737714
"no","MIT","MIT","east","light","HD-HR",2.00602008836216,-0.486740418925167,4.49878059564949,-1.66007278902781,-6.42740211286165,3.10725653480602
"no","CWW","CWW","north","heavy","LD-LR",7.75013500885315,7.2178429739937,8.2824270437126,2.29053285801305,-0.930806206068734,5.51187192209484
"no","CWW","CWW","north","heavy","LD-HR",7.25849246410281,6.49333536018439,8.02364956802123,2.09255733452453,-0.852166002881654,5.03728067193072
"no","CWW","CWW","north","heavy","HD-HR",7.0109243692081,6.47312238755218,7.54872635086402,2.02762126654622,-0.893537710871997,4.94878024396443
"no","CWW","CWW","north","medium","LD-LR",6.92676197351396,6.48378527633444,7.36973867069347,2.04717963729898,-0.846212956785362,4.94057223138332
"no","CWW","CWW","north","medium","LD-HR",6.56499872966564,5.94747217867415,7.18252528065712,1.90366157089213,-0.782308969624083,4.58963211140835
"no","CWW","CWW","north","medium","HD-HR",6.35269121767689,5.93228226293172,6.77310017242207,1.83469611370431,-0.840608263043352,4.51000049045198
"no","CWW","CWW","north","light","LD-LR",5.65341269136684,5.29204675633079,6.01477862640288,1.66400304145593,-0.70282749413964,4.0308335770515
"no","CWW","CWW","north","light","LD-HR",5.35931804803056,4.85606645945483,5.8625696366063,1.54226519796401,-0.659190222009716,3.74372061793773
"no","CWW","CWW","north","light","HD-HR",5.18672592968093,4.84372322009648,5.52972863926539,1.52063305229095,-0.649183093948493,3.6904491985304
"no","CWW","CWW","central","heavy","LD-LR",7.75371090459883,7.22319133582342,8.28423047337425,2.29373822672841,-0.928398756287199,5.51587520974402
"no","CWW","CWW","central","heavy","LD-HR",7.26493245657832,6.50263713024662,8.02722778291001,2.09815146427697,-0.848091720398704,5.04439464895264
"no","CWW","CWW","central","heavy","HD-HR",7.01752655574938,6.48240027739599,7.55265283410277,2.0333780611385,-0.889189940749251,4.95594606302625
"no","CWW","CWW","central","medium","LD-LR",6.92917407648009,6.48739555053566,7.37095260242451,2.04959174026511,-0.844185313478693,4.94336879400891
"no","CWW","CWW","central","medium","LD-HR",6.57036844716979,5.95532300316107,7.18541389117851,1.90903128839629,-0.777771961448129,4.59583453824071
"no","CWW","CWW","central","medium","HD-HR",6.35837700315005,5.94029269047893,6.77646131582117,1.84038189917747,-0.835685281678824,4.51644908003377
"no","CWW","CWW","central","light","LD-LR",5.65537387615728,5.29498206076483,6.01576569154973,1.66596422624637,-0.701176898468011,4.03310535096076
"no","CWW","CWW","central","light","LD-HR",5.3636828519226,4.86244780060453,5.86491790324067,1.54663000185605,-0.655494116996791,3.74875412070889
"no","CWW","CWW","central","light","HD-HR",5.19134742312075,4.85023423751219,5.5324606087293,1.52525454573077,-0.645191367507591,3.69570045896913
"no","CWW","CWW","east","heavy","LD-LR",7.91748955382201,7.46599578667354,8.36898332097048,2.34555269076309,-0.982742326010513,5.67384770753669
"no","CWW","CWW","east","heavy","LD-HR",7.74283743167417,7.20784711598364,8.2778277473647,2.29775492036497,-0.912120301454518,5.50763014218446
"no","CWW","CWW","east","heavy","HD-HR",7.54089461865098,7.221899118586,7.85989011871596,2.27190857949272,-0.91366353476675,5.45748069375219
"no","CWW","CWW","east","medium","LD-LR",6.92917407648009,6.48739555053566,7.37095260242451,2.04959174026511,-0.844185313478693,4.94336879400891
"no","CWW","CWW","east","medium","LD-HR",6.57036844716979,5.95532300316107,7.18541389117851,1.90903128839629,-0.777771961448129,4.59583453824071
"no","CWW","CWW","east","medium","HD-HR",6.35837700315005,5.94029269047893,6.77646131582117,1.84038189917747,-0.835685281678824,4.51644908003377
"no","CWW","CWW","east","light","LD-LR",5.65537387615728,5.29498206076483,6.01576569154973,1.66596422624637,-0.701176898468011,4.03310535096076
"no","CWW","CWW","east","light","LD-HR",5.3636828519226,4.86244780060453,5.86491790324067,1.54663000185605,-0.655494116996791,3.74875412070889
"no","CWW","CWW","east","light","HD-HR",5.19134742312075,4.85023423751219,5.5324606087293,1.52525454573077,-0.645191367507591,3.69570045896913
"lower","BAU_lower","BAU","north","heavy","LD-LR",5.55886755026162,2.09012675016753,9.0276083503557,0,0,0
"upper","BAU_upper","BAU","north","heavy","LD-LR",4.9379858083163,1.82058920893227,8.05538240770032,0,0,0
"lower","BAU_lower","BAU","north","heavy","LD-HR",5.4309257525754,2.04013840728572,8.82171309786508,0,0,0
"upper","BAU_upper","BAU","north","heavy","LD-HR",4.01204431320706,1.24188631049788,6.78220231591625,0,0,0
"lower","BAU_lower","BAU","north","heavy","HD-HR",5.35103405084606,2.01505620417594,8.68701189751617,0,0,0
"upper","BAU_upper","BAU","north","heavy","HD-HR",3.44411322261486,1.24298077787517,5.64524566735455,0,0,0
"lower","BAU_lower","BAU","north","medium","LD-LR",4.94021212072151,1.85707868913124,8.02334555231177,0,0,0
"upper","BAU_upper","BAU","north","medium","LD-LR",4.53722863039132,1.6941221602788,7.38033510050384,0,0,0
"lower","BAU_lower","BAU","north","medium","LD-HR",4.85323136614309,1.82469744827836,7.88176528400782,0,0,0
"upper","BAU_upper","BAU","north","medium","LD-HR",3.78347907651633,1.25786824387968,6.30908990915297,0,0,0
"lower","BAU_lower","BAU","north","medium","HD-HR",4.79318561698826,1.80601387539936,7.78035735857716,0,0,0
"upper","BAU_upper","BAU","north","medium","HD-HR",3.31949236551234,1.23068975995481,5.40829497106986,0,0,0
"lower","BAU_lower","BAU","north","light","LD-LR",4.03399997844169,1.51628172910046,6.55171822778293,0,0,0
"upper","BAU_upper","BAU","north","light","LD-LR",3.73174086443901,1.39583883781544,6.06764289106259,0,0,0
"lower","BAU_lower","BAU","north","light","LD-HR",3.96645701343506,1.49128182780582,6.4416321990643,0,0,0
"upper","BAU_upper","BAU","north","light","LD-HR",3.12230369420125,1.05112558974024,5.19348179866226,0,0,0
"lower","BAU_lower","BAU","north","light","HD-HR",3.9008327158475,1.46941619172342,6.33224923997158,0,0,0
"upper","BAU_upper","BAU","north","light","HD-HR",2.64534358764592,0.976059362953997,4.31462781233784,0,0,0
"lower","BAU_lower","BAU","central","heavy","LD-LR",5.55897786016597,2.09017294095382,9.02778277937811,0,0,0
"upper","BAU_upper","BAU","central","heavy","LD-LR",4.93957975520069,1.82138409196965,8.05777541843173,0,0,0
"lower","BAU_lower","BAU","central","heavy","LD-HR",5.43129895598549,2.04031811725404,8.82227979471693,0,0,0
"upper","BAU_upper","BAU","central","heavy","LD-HR",4.01462711222153,1.24349364633471,6.78576057810835,0,0,0
"lower","BAU_lower","BAU","central","heavy","HD-HR",5.35144903135555,2.01525121848087,8.68764684423023,0,0,0
"upper","BAU_upper","BAU","central","heavy","HD-HR",3.44643897837018,1.24401776295389,5.64886019378648,0,0,0
"lower","BAU_lower","BAU","central","medium","LD-LR",4.94021212072151,1.85707868913124,8.02334555231177,0,0,0
"upper","BAU_upper","BAU","central","medium","LD-LR",4.53722863039132,1.6941221602788,7.38033510050384,0,0,0
"lower","BAU_lower","BAU","central","medium","LD-HR",4.85323136614309,1.82469744827836,7.88176528400782,0,0,0
"upper","BAU_upper","BAU","central","medium","LD-HR",3.78347907651633,1.25786824387968,6.30908990915297,0,0,0
"lower","BAU_lower","BAU","central","medium","HD-HR",4.79318561698826,1.80601387539936,7.78035735857716,0,0,0
"upper","BAU_upper","BAU","central","medium","HD-HR",3.31949236551234,1.23068975995481,5.40829497106986,0,0,0
"lower","BAU_lower","BAU","central","light","LD-LR",4.03399997844169,1.51628172910046,6.55171822778293,0,0,0
"upper","BAU_upper","BAU","central","light","LD-LR",3.73174086443901,1.39583883781544,6.06764289106259,0,0,0
"lower","BAU_lower","BAU","central","light","LD-HR",3.96645701343506,1.49128182780582,6.4416321990643,0,0,0
"upper","BAU_upper","BAU","central","light","LD-HR",3.12230369420125,1.05112558974024,5.19348179866226,0,0,0
"lower","BAU_lower","BAU","central","light","HD-HR",3.9008327158475,1.46941619172342,6.33224923997158,0,0,0
"upper","BAU_upper","BAU","central","light","HD-HR",2.64534358764592,0.976059362953997,4.31462781233784,0,0,0
"lower","BAU_lower","BAU","east","heavy","LD-LR",5.59374074111945,2.10202812754031,9.08545335469859,0,0,0
"upper","BAU_upper","BAU","east","heavy","LD-LR",5.41665937050488,2.03917974305959,8.79413899795018,0,0,0
"lower","BAU_lower","BAU","east","heavy","LD-HR",5.55444598797783,2.08864325665487,9.02024871930079,0,0,0
"upper","BAU_upper","BAU","east","heavy","LD-HR",4.87669811659299,1.78745132886301,7.96594490432297,0,0,0
"lower","BAU_lower","BAU","east","heavy","HD-HR",5.48474547964285,2.06623580623087,8.90325515305482,0,0,0
"upper","BAU_upper","BAU","east","heavy","HD-HR",4.28008971758147,1.61266517901586,6.94751425614708,0,0,0
"lower","BAU_lower","BAU","east","medium","LD-LR",4.94021212072151,1.85707868913124,8.02334555231177,0,0,0
"upper","BAU_upper","BAU","east","medium","LD-LR",4.53722863039132,1.6941221602788,7.38033510050384,0,0,0
"lower","BAU_lower","BAU","east","medium","LD-HR",4.85323136614309,1.82469744827836,7.88176528400782,0,0,0
"upper","BAU_upper","BAU","east","medium","LD-HR",3.78347907651633,1.25786824387968,6.30908990915297,0,0,0
"lower","BAU_lower","BAU","east","medium","HD-HR",4.79318561698826,1.80601387539936,7.78035735857716,0,0,0
"upper","BAU_upper","BAU","east","medium","HD-HR",3.31949236551234,1.23068975995481,5.40829497106986,0,0,0
"lower","BAU_lower","BAU","east","light","LD-LR",4.03399997844169,1.51628172910046,6.55171822778293,0,0,0
"upper","BAU_upper","BAU","east","light","LD-LR",3.73174086443901,1.39583883781544,6.06764289106259,0,0,0
"lower","BAU_lower","BAU","east","light","LD-HR",3.96645701343506,1.49128182780582,6.4416321990643,0,0,0
"upper","BAU_upper","BAU","east","light","LD-HR",3.12230369420125,1.05112558974024,5.19348179866226,0,0,0
"lower","BAU_lower","BAU","east","light","HD-HR",3.9008327158475,1.46941619172342,6.33224923997158,0,0,0
"upper","BAU_upper","BAU","east","light","HD-HR",2.64534358764592,0.976059362953997,4.31462781233784,0,0,0
